Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"z podatków pośrednich
indirect tax revenue",Unnamed: 4,"z podatku od towarów i usług (VAT)
Value added tax (VAT) revenue",Unnamed: 6,"z podatku akcyzowego
excise tax revenue",Unnamed: 8,"z podatku dochodowego od osób prawnych
corporate income tax revenue",Unnamed: 10,"z podatku dochodowego od osób fizycznych
personal 
income tax revenue",Unnamed: 12,"z podatku od niektórych instytucji finansowych
On certain financial institutions tax revenue",Unnamed: 14,"z dywidend i wpłyów z zysku
dividends and income from profit revenue",Unnamed: 16,"z wpłat z zysku Narodowego Banku Polskiego
payments from profit of the National Bank of Poland revenue",Unnamed: 18,"z wpłyów z cła 
receipts from customs duties revenue",Unnamed: 20,"dochody państwowych jednostek budżetowych i inne dochody niepodatkowe  
revenue of state budgetary units and other non-tax revenue  ",Unnamed: 22,"środki z Unii Europejskiej i innych źródeł niepodlegające zwrotowi  
non-returnable funds from the European Union and other sources",Unnamed: 24,"Ogółem
Grand total.1",Unnamed: 26,"ubezpieczenia społeczne
social security contributions",Unnamed: 28,"subwencja ogólna dla jednostek samorządu terytorialnego
general subsidy for local government units",Unnamed: 30,"wydatki bieżące jednostek budżetowych
current expenditure of budgetary units",Unnamed: 32,"wydatki majątkowe
property expenditure",Unnamed: 34,"obsługa długu Skarbu Państwa
State Treasure debt service",Unnamed: 36,"środki własne 
Unii Europejskiej European Union own resources",Unnamed: 38,"współfinansowanie projektów z udziałem środków Unii Europejskiej 
co-financing of projects with the participation of the European Union funds",Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,"miliony PLN
million PLN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 M01-09,204358,,128664.1,,83560.0,,44120.0,,16741.2,,29495.9,, -   ,,4419.1,,5264,,1481.7,,14339.1,,741.8,,234001.4,,52922.0,,42104.6,,40964.3,,6005.3,,28648.8,,15356.1,,7836.9,,-29643.4,,13510.8,
2013 M01-10,231520.5,,146207.7,,95460.7,,49660.0,,18756.7,,33343.4,, -   ,,5756.6,,5264,,1680.7,,16242.5,,756.8,,271001.7,,62028.1,,46066.6,,45594.9,,7082.1,,40588.7,,16151.8,,8528.3,,-39481.2,,14706.1,
2013 M01-11,255805.4,,161296.2,,105165.4,,54937.5,,21064.1,,37196.0,, -   ,,6862,,5264,,1855.9,,17347.4,,1111.5,,294374.4,,68396.8,,50160.1,,50709.2,,8472.3,,41239.5,,16950.5,,9274.3,,-38569.1,,15235.9,
2013 M01-12,279151.2,,175368.6,,113411.5,,60653.1,,23075.3,,41290.5,, -   ,,7052.9,,5264,,2022.1,,19431.3,,1524.3,,321345.3,,74792.9,,51257.1,,58421.3,,12877.0,,42460.1,,18129.2,,10299.9,,-42194.1,,16161.4,
2014 M01,29275.3,,21401.6,,16368.7,,4923.5,,1951.8,,4125.5,, -   ,,2.2,, -   ,,160.0,,1296.7,,11.9,,31876.3,,9652.4,,6990.2,,3439.6,,213.0,,5130.1,,1695.0,,1096.8,,-2601.1,,7872.6,
2014 M01-02,48719.9,,34428.0,,25072.4,,9135.7,,3856.7,,7103.6,, -   ,,9.2,, -   ,,350.4,,2197.2,,41.5,,60438.1,,14794.0,,13980.4,,8857.2,,644.7,,6308.3,,5432.0,,2190.0,,-11718.2,,8055.9,
2014 M01-03,66974.9,,44896.2,,30876.6,,13696.6,,7377.2,,9391.5,, -   ,,34.2,, -   ,,547.2,,3655.6,,47.8,,84465.9,,20489.0,,17944.4,,13953.6,,1229.5,,7850.5,,6912.0,,3053.8,,-17491.0,,6270.0,
2014 M01-04,95696.5,,63775.8,,44557.9,,18778.1,,9838.8,,13732.6,, -   ,,91.1,, -   ,,745.4,,6130.9,,77.9,,116876.4,,29249.5,,21908.0,,18936.9,,1697.6,,14767.9,,8346.2,,3700.7,,-21179.9,,4051.8,
2014 M01-05,115241.7,,77491.0,,53297.8,,23653.7,,11149.8,,16798.7,, -   ,,183.2,, -   ,,937.3,,6986.8,,95.3,,137604.3,,33210.6,,25920.8,,23524.5,,2221.2,,15351.4,,9798.8,,4374.8,,-22362.6,,760.7,
2014 M01-06,136321.4,,92294.3,,62663.9,,28991.0,,11719.3,,19705.7,, -   ,,415.5,, -   ,,1123.0,,8741.7,,435.7,,161620.0,,39925.5,,29934.1,,27873.6,,3125.2,,16334.1,,11112.0,,5028.2,,-25298.6,,-3163.8,
2014 M01-07,162534.2,,110513.7,,75024.7,,34750.5,,13509.8,,23161.9,, -   ,,708.3,, -   ,,1328.3,,10695.8,,449.6,,188937.5,,47342.3,,34025.4,,32339.9,,4034.6,,20508.0,,12164.3,,5603.8,,-26403.2,,504.5,
2014 M01-08,184520.3,,125143.0,,84346.5,,39958.9,,15314.2,,26977.9,, -   ,,1198.7,, -   ,,1530.8,,11360.8,,487.1,,209123.8,,52028.6,,38099.3,,36694.7,,4952.3,,20841.5,,13075.8,,6138.9,,-24603.5,,4216.4,
2014 M01-09,209190.5,,139700.9,,93103.0,,45661.7,,17066.6,,30705.8,, -   ,,3134.6,, -   ,,1758.8,,13048.1,,823.3,,231635.1,,56960.1,,42099.0,,41151.3,,6015.3,,22988.1,,13753.7,,6763.1,,-22444.6,,1300.8,
2014 M01-10,235803.6,,157499.1,,105490.8,,50977.4,,19181.8,,34760.7,, -   ,,3962.9,, -   ,,2004.1,,14319.4,,848.6,,263036.7,,62646.2,,46063.2,,45892.9,,7474.3,,32062.2,,14558.5,,7510.1,,-27233.2,,1684.6,
